round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,map_round,winning_team_final_map_score,losing_team_final_map_score,control_round_name,attacker,defender,team_one_name,team_two_name,attacker_payload_distance,defender_payload_distance,attacker_time_banked,defender_time_banked,attacker_control_perecent,defender_control_perecent,attacker_round_end_score,defender_round_end_score
2020-02-08T18:13:00Z,2020-02-08T18:16:00Z,OWL 2020 Regular Season,30991,1,Toronto Defiant,Paris Eternal,Toronto Defiant,Lijiang Tower,1,2,0,Night Market,Toronto Defiant,Paris Eternal,Toronto Defiant,Paris Eternal,0,0,0,0,0,100,0,1
2020-02-08T18:17:00Z,2020-02-08T18:21:00Z,OWL 2020 Regular Season,30991,1,Toronto Defiant,Paris Eternal,Toronto Defiant,Lijiang Tower,2,2,0,Control Center,Toronto Defiant,Paris Eternal,Toronto Defiant,Paris Eternal,0,0,0,0,50,100,0,2
2020-02-08T18:30:00Z,2020-02-08T18:37:00Z,OWL 2020 Regular Season,30991,2,Toronto Defiant,Toronto Defiant,Paris Eternal,Eichenwalde,1,4,3,NULL,Toronto Defiant,Paris Eternal,Paris Eternal,Toronto Defiant,67.74066925,0,83.7780304,0,NULL,NULL,3,0
2020-02-08T18:40:00Z,2020-02-08T18:46:00Z,OWL 2020 Regular Season,30991,2,Toronto Defiant,Toronto Defiant,Paris Eternal,Eichenwalde,2,4,3,NULL,Paris Eternal,Toronto Defiant,Paris Eternal,Toronto Defiant,67.70661926,67.74066925,76.56900024,83.7780304,NULL,NULL,3,3
2020-02-08T18:48:00Z,2020-02-08T18:50:00Z,OWL 2020 Regular Season,30991,2,Toronto Defiant,Toronto Defiant,Paris Eternal,Eichenwalde,3,4,3,NULL,Paris Eternal,Toronto Defiant,Paris Eternal,Toronto Defiant,0,67.74066925,0,83.7780304,NULL,NULL,3,3
2020-02-08T18:51:00Z,2020-02-08T18:52:00Z,OWL 2020 Regular Season,30991,2,Toronto Defiant,Toronto Defiant,Paris Eternal,Eichenwalde,4,4,3,NULL,Toronto Defiant,Paris Eternal,Paris Eternal,Toronto Defiant,0,0,0,0,NULL,NULL,4,3
2020-02-08T19:07:00Z,2020-02-08T19:11:00Z,OWL 2020 Regular Season,30991,3,Toronto Defiant,Toronto Defiant,Paris Eternal,Horizon Lunar Colony,1,3,2,NULL,Toronto Defiant,Paris Eternal,Paris Eternal,Toronto Defiant,0,0,189.5520325,0,NULL,NULL,2,0
2020-02-08T19:14:00Z,2020-02-08T19:21:00Z,OWL 2020 Regular Season,30991,3,Toronto Defiant,Toronto Defiant,Paris Eternal,Horizon Lunar Colony,2,3,2,NULL,Paris Eternal,Toronto Defiant,Paris Eternal,Toronto Defiant,0,0,0,189.5520325,NULL,NULL,2,2
2020-02-08T19:23:00Z,2020-02-08T19:25:00Z,OWL 2020 Regular Season,30991,3,Toronto Defiant,Toronto Defiant,Paris Eternal,Horizon Lunar Colony,3,3,2,NULL,Toronto Defiant,Paris Eternal,Paris Eternal,Toronto Defiant,0,0,49.911026,0,NULL,NULL,3,2
2020-02-08T19:32:00Z,2020-02-08T19:40:00Z,OWL 2020 Regular Season,30991,4,Toronto Defiant,Toronto Defiant,Paris Eternal,Havana,1,3,0,NULL,Toronto Defiant,Paris Eternal,Paris Eternal,Toronto Defiant,103.3523712,0,24.20103455,0,NULL,NULL,3,0
2020-02-08T19:41:00Z,2020-02-08T19:46:00Z,OWL 2020 Regular Season,30991,4,Toronto Defiant,Toronto Defiant,Paris Eternal,Havana,2,3,0,NULL,Paris Eternal,Toronto Defiant,Paris Eternal,Toronto Defiant,83.07673645,103.3523712,0,24.20103455,NULL,NULL,0,3
2020-02-08T20:18:00Z,2020-02-08T20:24:00Z,OWL 2020 Regular Season,30992,1,New York Excelsior,London Spitfire,New York Excelsior,Lijiang Tower,1,2,0,Night Market,London Spitfire,New York Excelsior,London Spitfire,New York Excelsior,0,0,0,0,100,99,1,0
2020-02-08T20:24:00Z,2020-02-08T20:29:00Z,OWL 2020 Regular Season,30992,1,New York Excelsior,London Spitfire,New York Excelsior,Lijiang Tower,2,2,0,Control Center,London Spitfire,New York Excelsior,London Spitfire,New York Excelsior,0,0,0,0,100,99,2,0
2020-02-08T20:36:00Z,2020-02-08T20:44:00Z,OWL 2020 Regular Season,30992,2,New York Excelsior,New York Excelsior,London Spitfire,King's Row,1,3,2,NULL,London Spitfire,New York Excelsior,New York Excelsior,London Spitfire,68.14673615,0,0,0,NULL,NULL,2,0
2020-02-08T20:48:00Z,2020-02-08T20:56:00Z,OWL 2020 Regular Season,30992,2,New York Excelsior,New York Excelsior,London Spitfire,King's Row,2,3,2,NULL,New York Excelsior,London Spitfire,New York Excelsior,London Spitfire,68.15125275,68.14673615,0,0,NULL,NULL,3,2
2020-02-08T21:12:00Z,2020-02-08T21:15:00Z,OWL 2020 Regular Season,30992,3,New York Excelsior,New York Excelsior,London Spitfire,Horizon Lunar Colony,1,2,1,NULL,New York Excelsior,London Spitfire,London Spitfire,New York Excelsior,0,0,218.2870178,0,NULL,NULL,2,0
2020-02-08T21:18:00Z,2020-02-08T21:30:00Z,OWL 2020 Regular Season,30992,3,New York Excelsior,New York Excelsior,London Spitfire,Horizon Lunar Colony,2,2,1,NULL,London Spitfire,New York Excelsior,London Spitfire,New York Excelsior,0,0,0,218.2870178,NULL,NULL,1,2
2020-02-08T21:36:00Z,2020-02-08T21:45:00Z,OWL 2020 Regular Season,30992,4,New York Excelsior,New York Excelsior,London Spitfire,Junkertown,1,3,0,NULL,New York Excelsior,London Spitfire,London Spitfire,New York Excelsior,101.8423157,0,0,0,NULL,NULL,3,0
2020-02-08T21:46:00Z,2020-02-08T21:51:00Z,OWL 2020 Regular Season,30992,4,New York Excelsior,New York Excelsior,London Spitfire,Junkertown,2,3,0,NULL,London Spitfire,New York Excelsior,London Spitfire,New York Excelsior,86.94760895,101.8423157,0,0,NULL,NULL,0,3
2020-02-08T22:11:00Z,2020-02-08T22:13:00Z,OWL 2020 Regular Season,30993,1,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,Nepal,1,2,1,Sanctum,Los Angeles Gladiators,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,0,0,0,0,0,100,0,1
2020-02-08T22:15:00Z,2020-02-08T22:20:00Z,OWL 2020 Regular Season,30993,1,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,Nepal,2,2,1,Village,Los Angeles Gladiators,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,0,0,0,0,100,99,1,1
2020-02-08T22:21:00Z,2020-02-08T22:24:00Z,OWL 2020 Regular Season,30993,1,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,Nepal,3,2,1,Shrine,Los Angeles Gladiators,Vancouver Titans,Los Angeles Gladiators,Vancouver Titans,0,0,0,0,100,0,2,1
2020-02-08T22:30:00Z,2020-02-08T22:38:00Z,OWL 2020 Regular Season,30993,2,Vancouver Titans,Vancouver Titans,Los Angeles Gladiators,King's Row,1,3,2,NULL,Los Angeles Gladiators,Vancouver Titans,Vancouver Titans,Los Angeles Gladiators,62.82834625,0,0,0,NULL,NULL,2,0
