season,stage,map_winner,map_loser,map_name,map_type,match_count
2,Four,Paris Eternal,Washington Justice,King's Row,Hybrid,4
2,One,Guangzhou Charge,Dallas Fuel,Temple of Anubis,Assault,2
2,Two,Seoul Dynasty,Los Angeles Valiant,King's Row,Hybrid,4
1,One,Boston Uprising,Philadelphia Fusion,Junkertown,Escort,4
1,Three,Seoul Dynasty,Los Angeles Gladiators,Temple of Anubis,Assault,2
1,Two,Los Angeles Gladiators,London Spitfire,Volskaya Industries,Assault,3
2,Three,Guangzhou Charge,Toronto Defiant,Hollywood,Hybrid,2
1,Inaugural Championship,Philadelphia Fusion,New York Excelsior,King's Row,Hybrid,2
2,Four,draw,draw,Temple of Anubis,Assault,2
2,Four,Florida Mayhem,Washington Justice,Volskaya Industries,Assault,2
1,One,Dallas Fuel,New York Excelsior,Oasis,Control,3
2,Four,San Francisco Shock,Los Angeles Gladiators,Havana,Escort,2
2,Three,Los Angeles Gladiators,Vancouver Titans,Paris,Assault,4
1,Two,London Spitfire,Dallas Fuel,Volskaya Industries,Assault,2
1,One,Shanghai Dragons,Seoul Dynasty,Dorado,Escort,2
1,Three,Houston Outlaws,Florida Mayhem,Blizzard World,Hybrid,2
1,Two,London Spitfire,Boston Uprising,Hollywood,Hybrid,4
2,Four,San Francisco Shock,Los Angeles Gladiators,Hanamura,Assault,2
1,Two,New York Excelsior,Boston Uprising,King's Row,Hybrid,2
2,Two,New York Excelsior,Philadelphia Fusion,Eichenwalde,Hybrid,2
1,One,Seoul Dynasty,Houston Outlaws,Lijiang Tower,Control,3
2,One,New York Excelsior,Los Angeles Valiant,Hollywood,Hybrid,2
1,One,Houston Outlaws,Florida Mayhem,Ilios,Control,2
3,OWL 2020 Regular Season,Paris Eternal,Los Angeles Valiant,Nepal,Control,3
2,Two - Title,New York Excelsior,Los Angeles Gladiators,King's Row,Hybrid,2
1,Two,Philadelphia Fusion,New York Excelsior,Route 66,Escort,4
1,Three,Los Angeles Gladiators,New York Excelsior,Blizzard World,Hybrid,2
1,Two,New York Excelsior,San Francisco Shock,Hollywood,Hybrid,2
2,Three,Paris Eternal,Boston Uprising,Oasis,Control,2
3,OWL 2020 Regular Season,Florida Mayhem,Philadelphia Fusion,Hanamura,Assault,2
2,Three,New York Excelsior,Houston Outlaws,Oasis,Control,2
2,One,Washington Justice,New York Excelsior,Horizon Lunar Colony,Assault,2
2,One,Shanghai Dragons,London Spitfire,Route 66,Escort,2
2,Two,New York Excelsior,Washington Justice,Eichenwalde,Hybrid,2
3,OWL 2020 Regular Season,Los Angeles Valiant,San Francisco Shock,Paris,Assault,6
2,Four,Houston Outlaws,London Spitfire,Route 66,Escort,2
1,Three,New York Excelsior,Shanghai Dragons,Nepal,Control,2
1,Four,Los Angeles Gladiators,Florida Mayhem,King's Row,Hybrid,2
1,Two,London Spitfire,Philadelphia Fusion,Hollywood,Hybrid,2
3,OWL 2020 Regular Season,New York Excelsior,Hangzhou Spark,Busan,Control,2
1,Four,Los Angeles Gladiators,Shanghai Dragons,Lijiang Tower,Control,3
1,Two,Florida Mayhem,Los Angeles Gladiators,Nepal,Control,2
2,One,Shanghai Dragons,Boston Uprising,Ilios,Control,2
2,One,London Spitfire,Hangzhou Spark,Numbani,Hybrid,2
2,Two,London Spitfire,Florida Mayhem,Lijiang Tower,Control,2
1,Four,Florida Mayhem,Houston Outlaws,Horizon Lunar Colony,Assault,2
1,Two,Los Angeles Valiant,San Francisco Shock,Lijiang Tower,Control,2
3,OWL 2020 Regular Season,London Spitfire,Florida Mayhem,Oasis,Control,2
2,Three,Seoul Dynasty,Atlanta Reign,Volskaya Industries,Assault,6
3,OWL 2020 Regular Season,Vancouver Titans,Dallas Fuel,Busan,Control,3
1,Four,Philadelphia Fusion,London Spitfire,Hanamura,Assault,3
2,Three,Houston Outlaws,Toronto Defiant,Horizon Lunar Colony,Assault,4
2,Three,Chengdu Hunters,San Francisco Shock,Ilios,Control,3
1,One,Seoul Dynasty,Shanghai Dragons,Oasis,Control,3
2,Three,London Spitfire,Boston Uprising,Horizon Lunar Colony,Assault,2
