match_loser,match_winner,season,stage,match_id
Dallas Fuel,Seoul Dynasty,1,Four,10623
London Spitfire,Shanghai Dragons,2,One,21266
Hangzhou Spark,Vancouver Titans,2,Two,21295
Houston Outlaws,Los Angeles Gladiators,1,Four,10457
Shanghai Dragons,Toronto Defiant,2,Four,21399
Boston Uprising,Vancouver Titans,3,OWL 2020 Regular Season,34604
Toronto Defiant,London Spitfire,2,Three,21319
Los Angeles Valiant,London Spitfire,1,One,10244
San Francisco Shock,Chengdu Hunters,2,Three,21338
London Spitfire,Atlanta Reign,2,Four,21504
Florida Mayhem,Houston Outlaws,1,One,10252
Houston Outlaws,Philadelphia Fusion,1,Three,10350
Hangzhou Spark,San Francisco Shock,2,One,21262
Houston Outlaws,Vancouver Titans,2,Two,21341
Vancouver Titans,San Francisco Shock,2,Four,21521
San Francisco Shock,Dallas Fuel,1,One,10255
San Francisco Shock,Los Angeles Valiant,1,Two,10291
Dallas Fuel,Guangzhou Charge,2,Four,21512
Los Angeles Gladiators,Hangzhou Spark,2,Four,21484
London Spitfire,Houston Outlaws,1,Four,10448
Dallas Fuel,Florida Mayhem,3,OWL 2020 Regular Season,34632
Los Angeles Gladiators,Paris Eternal,3,OWL 2020 Regular Season,34221
Los Angeles Valiant,Paris Eternal,3,OWL 2020 Regular Season,34641
Dallas Fuel,Boston Uprising,1,One,10256
Dallas Fuel,Vancouver Titans,2,Three,21402
Shanghai Dragons,Dallas Fuel,1,Four,10445
Guangzhou Charge,Seoul Dynasty,2,Three,21317
Hangzhou Spark,Los Angeles Gladiators,2,Season 2 Championship,30152
Los Angeles Gladiators,Philadelphia Fusion,1,Two,10576
Los Angeles Valiant,Seoul Dynasty,1,Two,10278
Florida Mayhem,Vancouver Titans,2,Four,21398
Florida Mayhem,Boston Uprising,2,One,21312
New York Excelsior,Los Angeles Gladiators,2,Four,21423
Boston Uprising,Toronto Defiant,3,OWL 2020 Regular Season,31066
Los Angeles Gladiators,Vancouver Titans,2,Season 2 Championship,30155
Los Angeles Gladiators,London Spitfire,1,Inaugural Championship,13125
New York Excelsior,Vancouver Titans,2,Two - Title,20317
Philadelphia Fusion,Boston Uprising,1,One,10567
Dallas Fuel,San Francisco Shock,1,Three,10358
Guangzhou Charge,Chengdu Hunters,2,One,21212
Washington Justice,Los Angeles Valiant,2,Two,21287
Los Angeles Valiant,Seoul Dynasty,3,OWL 2020 Regular Season,33021
London Spitfire,Hangzhou Spark,2,Two - Title,20312
Hangzhou Spark,Guangzhou Charge,3,OWL 2020 Regular Season,32844
Philadelphia Fusion,Los Angeles Valiant,1,One,10259
Los Angeles Gladiators,Seoul Dynasty,2,One,21231
Chengdu Hunters,Vancouver Titans,2,Three,21385
New York Excelsior,Guangzhou Charge,3,OWL 2020 Regular Season,34642
Boston Uprising,Paris Eternal,3,OWL 2020 Regular Season,34491
Los Angeles Gladiators,London Spitfire,2,One,21129
Shanghai Dragons,Los Angeles Valiant,1,Three,10340
Shanghai Dragons,Dallas Fuel,1,Three,10333
Los Angeles Valiant,Hangzhou Spark,2,Three,21309
Seoul Dynasty,Shanghai Dragons,3,OWL 2020 Regular Season,34608
Florida Mayhem,London Spitfire,1,Four,10625
London Spitfire,Los Angeles Valiant,1,Four,10482
Hangzhou Spark,London Spitfire,2,One,21301
Houston Outlaws,Atlanta Reign,3,OWL 2020 Regular Season,34201
Chengdu Hunters,Seoul Dynasty,2,Three,21451
Florida Mayhem,Dallas Fuel,2,Two,21371
Boston Uprising,London Spitfire,2,Two,21342
Houston Outlaws,New York Excelsior,1,Two,10300
Los Angeles Valiant,Seoul Dynasty,2,Four,21389
Dallas Fuel,Los Angeles Valiant,1,Two,10298
Dallas Fuel,Los Angeles Valiant,2,Four,21455
Los Angeles Gladiators,Houston Outlaws,1,One,10258
London Spitfire,Los Angeles Valiant,2,Three,21421
Dallas Fuel,Seoul Dynasty,2,Two,21325
Philadelphia Fusion,New York Excelsior,1,Four,10467
Toronto Defiant,Dallas Fuel,3,OWL 2020 Regular Season,34605
Chengdu Hunters,Guangzhou Charge,3,OWL 2020 Regular Season,32863
Los Angeles Valiant,Dallas Fuel,1,Four,10629
Boston Uprising,Chengdu Hunters,2,Four,21388
Philadelphia Fusion,San Francisco Shock,2,One - Title,20307
Philadelphia Fusion,Los Angeles Gladiators,1,Four,10472
Boston Uprising,Philadelphia Fusion,1,Two,10283
Paris Eternal,Hangzhou Spark,2,Two,21361
Florida Mayhem,Los Angeles Gladiators,1,Four,10459
Vancouver Titans,Washington Justice,2,Four,21408
New York Excelsior,London Spitfire,1,Two,10284
Chengdu Hunters,Los Angeles Valiant,2,Two,21372
Seoul Dynasty,Los Angeles Gladiators,2,Two,21321
Houston Outlaws,Florida Mayhem,3,OWL 2020 Regular Season,34606
Florida Mayhem,Houston Outlaws,1,Four,10478
New York Excelsior,Shanghai Dragons,3,OWL 2020 Regular Season,34517
Dallas Fuel,Vancouver Titans,2,Two,21286
Houston Outlaws,Washington Justice,2,Four,21483
Los Angeles Valiant,New York Excelsior,2,One,21242
Houston Outlaws,Atlanta Reign,2,One,21218
Washington Justice,London Spitfire,2,One,21210
San Francisco Shock,Los Angeles Valiant,1,One,10223
Vancouver Titans,Los Angeles Valiant,2,Three,21330
Houston Outlaws,Dallas Fuel,2,Two,21314
Florida Mayhem,New York Excelsior,2,Three,21461
Dallas Fuel,Los Angeles Gladiators,1,Three,10339
Chengdu Hunters,London Spitfire,3,OWL 2020 Regular Season,34223
New York Excelsior,Guangzhou Charge,3,OWL 2020 Regular Season,34222
London Spitfire,Chengdu Hunters,2,Two,21289
Washington Justice,Los Angeles Gladiators,2,Three,21368
Shanghai Dragons,San Francisco Shock,2,Two - Title,20311
Houston Outlaws,Washington Justice,3,OWL 2020 Regular Season,31005
Philadelphia Fusion,Los Angeles Gladiators,1,One,10240
Dallas Fuel,Vancouver Titans,2,Two - Title,20314
Los Angeles Gladiators,Los Angeles Valiant,1,One,10249
Florida Mayhem,Seoul Dynasty,2,Three,21348
Dallas Fuel,San Francisco Shock,3,OWL 2020 Regular Season,30998
Hangzhou Spark,Shanghai Dragons,3,OWL 2020 Regular Season,32845
London Spitfire,New York Excelsior,3,OWL 2020 Regular Season,30992
Florida Mayhem,Los Angeles Gladiators,1,Two,10320
Florida Mayhem,London Spitfire,1,Three,10349
Houston Outlaws,Philadelphia Fusion,2,Two,21250
Shanghai Dragons,Houston Outlaws,1,One,10237
Houston Outlaws,San Francisco Shock,1,Two,10324
Philadelphia Fusion,London Spitfire,1,Inaugural Championship,13134
Washington Justice,Florida Mayhem,3,OWL 2020 Regular Season,34190
Florida Mayhem,Los Angeles Valiant,1,Three,10377
Shanghai Dragons,Los Angeles Gladiators,1,Two,10292
Los Angeles Valiant,New York Excelsior,1,Two,10586
Dallas Fuel,Seoul Dynasty,1,Two,10290
Washington Justice,Philadelphia Fusion,2,One,21252
Dallas Fuel,Guangzhou Charge,2,One,21272
San Francisco Shock,London Spitfire,1,One,10247
Chengdu Hunters,Shanghai Dragons,2,Two,21258
Shanghai Dragons,Seoul Dynasty,1,Three,10359
Hangzhou Spark,San Francisco Shock,2,Two,21351
Florida Mayhem,Los Angeles Valiant,3,OWL 2020 Regular Season,34611
London Spitfire,San Francisco Shock,2,Season 2 Championship,30164
Philadelphia Fusion,London Spitfire,1,Inaugural Championship,13133
Dallas Fuel,Florida Mayhem,1,Three,10371
London Spitfire,Boston Uprising,1,Three,10361
Seoul Dynasty,Los Angeles Valiant,1,Three,10334
Atlanta Reign,San Francisco Shock,2,Three,21300
San Francisco Shock,Philadelphia Fusion,1,Four,10484
Philadelphia Fusion,Seoul Dynasty,1,Two,10305
Washington Justice,Paris Eternal,3,OWL 2020 Regular Season,31012
Chengdu Hunters,Shanghai Dragons,3,OWL 2020 Regular Season,32832
Boston Uprising,Paris Eternal,2,Three,21367
Houston Outlaws,New York Excelsior,1,Three,10355
Florida Mayhem,Houston Outlaws,1,Two,10310
Boston Uprising,Shanghai Dragons,2,One,21281
London Spitfire,New York Excelsior,3,OWL 2020 Regular Season,34613
Toronto Defiant,Guangzhou Charge,2,Three,21369
San Francisco Shock,New York Excelsior,1,Four,10489
Dallas Fuel,New York Excelsior,1,Two,10580
Washington Justice,Houston Outlaws,2,Three,21431
Florida Mayhem,New York Excelsior,1,Four,10447
Florida Mayhem,Boston Uprising,1,One,10230
Washington Justice,Atlanta Reign,2,Four,21458
Florida Mayhem,Guangzhou Charge,2,One,21214
Seoul Dynasty,Boston Uprising,2,One,21223
Toronto Defiant,Vancouver Titans,2,Two,21335
Dallas Fuel,Seoul Dynasty,1,One,10225
Boston Uprising,New York Excelsior,2,One,21221
Hangzhou Spark,Shanghai Dragons,3,OWL 2020 Regular Season,32864
Hangzhou Spark,London Spitfire,3,OWL 2020 Regular Season,34607
Houston Outlaws,Florida Mayhem,3,OWL 2020 Regular Season,31001
Los Angeles Valiant,Los Angeles Gladiators,1,Two,10304
Chengdu Hunters,Shanghai Dragons,3,OWL 2020 Regular Season,34614
Dallas Fuel,London Spitfire,2,Four,21425
Houston Outlaws,Paris Eternal,3,OWL 2020 Regular Season,31073
Philadelphia Fusion,San Francisco Shock,2,Two,21298
Dallas Fuel,Chengdu Hunters,2,Three,21320
Dallas Fuel,New York Excelsior,1,Three,10593
Los Angeles Gladiators,Houston Outlaws,2,Four,21454
Houston Outlaws,New York Excelsior,1,Four,10627
Houston Outlaws,London Spitfire,3,OWL 2020 Regular Season,31025
Shanghai Dragons,Los Angeles Gladiators,1,Four,10621
Atlanta Reign,Philadelphia Fusion,2,One,21261
Philadelphia Fusion,Florida Mayhem,3,OWL 2020 Regular Season,34507
Los Angeles Gladiators,Seoul Dynasty,1,Two,10297
Chengdu Hunters,Hangzhou Spark,2,Four,21463
Chengdu Hunters,Seoul Dynasty,3,OWL 2020 Regular Season,34601
Los Angeles Gladiators,San Francisco Shock,2,Season 2 Championship,30159
Dallas Fuel,New York Excelsior,1,Four - Title,10547
London Spitfire,Paris Eternal,3,OWL 2020 Regular Season,30995
Toronto Defiant,London Spitfire,2,Four,21482
Chengdu Hunters,Los Angeles Valiant,2,Three,21375
Florida Mayhem,Philadelphia Fusion,3,OWL 2020 Regular Season,31006
Dallas Fuel,Los Angeles Valiant,3,OWL 2020 Regular Season,30994
Florida Mayhem,Philadelphia Fusion,1,Two,10287
Washington Justice,Dallas Fuel,2,Three,21318
Boston Uprising,London Spitfire,1,Two,10308
Boston Uprising,New York Excelsior,1,Two,10295
Washington Justice,Guangzhou Charge,2,Three,21406
Vancouver Titans,Florida Mayhem,3,OWL 2020 Regular Season,34195
Washington Justice,Dallas Fuel,3,OWL 2020 Regular Season,33071
Shanghai Dragons,Los Angeles Gladiators,1,One,10224
London Spitfire,Boston Uprising,1,One,10250
Boston Uprising,Philadelphia Fusion,1,Four,10446
Los Angeles Gladiators,New York Excelsior,1,One,10245
Florida Mayhem,Atlanta Reign,3,OWL 2020 Regular Season,31060
Atlanta Reign,Shanghai Dragons,2,Three,21383
Washington Justice,Atlanta Reign,3,OWL 2020 Regular Season,32862
San Francisco Shock,London Spitfire,1,Three,10378
Seoul Dynasty,New York Excelsior,1,Three,10379
Seoul Dynasty,Shanghai Dragons,2,Four,21433
Seoul Dynasty,New York Excelsior,1,One,10253
Washington Justice,San Francisco Shock,3,OWL 2020 Regular Season,34610
