adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
4.685746928,162.193992066,12.666666667,3,Hangzhou Spark,Deaths,760
1.502419299,157.745577566,3.95,3,Boston Uprising,Critical Hit Kills,237
5.711008439,128.348610906,12.216666667,3,Atlanta Reign,Deaths,733
1.374051499,160.110447233,3.666666667,3,Toronto Defiant,Critical Hit Kills,220
6.296763358,159.446995678,16.733333333,3,Los Angeles Valiant,Deaths,1004
13419.189379092,156.263558982,34948.83818384,3,Washington Justice,All Damage Done,2096930.29103039
543.383399476,143.407898422,1298.757855937,3,Dallas Fuel,Time Alive,77925.471356199
8.640005666,141.782314436,20.416666667,3,San Francisco Shock,Final Blows,1225
6.073072994,156.263558982,15.816666667,3,Washington Justice,Deaths,949
599.999999999,175.363303457,1753.633034566,3,Philadelphia Fusion,Time Played,105217.982073974
13033.969068852,157.745577566,34267.516312392,3,Boston Uprising,All Damage Done,2056050.97874351
15578.701978905,134.384033343,34892.146769565,3,Seoul Dynasty,All Damage Done,2093528.80617388
0.950672129,179.872739221,2.85,3,Chengdu Hunters,Critical Hit Kills,171
540.929820003,143.049672011,1289.663888873,3,Los Angeles Gladiators,Time Alive,77379.833332398
6.346684623,168.591959989,17.833333333,3,Paris Eternal,Deaths,1070
6.048720916,179.872739221,18.133333333,3,Chengdu Hunters,Final Blows,1088
555.079806418,162.193992066,1500.510161969,3,Hangzhou Spark,Time Alive,90030.609718164
6.898801909,166.405705671,19.133333333,3,New York Excelsior,Final Blows,1148
5.313131197,134.384033343,11.9,3,Seoul Dynasty,Deaths,714
0.655567072,178.471440982,1.95,3,Shanghai Dragons,Solo Kills,117
556.151126701,178.471440982,1654.284883102,3,Shanghai Dragons,Time Alive,99257.092986112
0.826378471,185.145191124,2.55,3,Guangzhou Charge,Solo Kills,153
1.866597307,130.719142843,4.066666667,3,London Spitfire,Critical Hit Kills,244
16.757943217,134.384033343,37.533333333,3,Seoul Dynasty,Eliminations,2252
18.946735165,159.446995678,50.35,3,Los Angeles Valiant,Eliminations,3021
1.659423329,134.384033343,3.716666667,3,Seoul Dynasty,Critical Hit Kills,223
600.000000000,128.348610906,1283.486109059,3,Atlanta Reign,Time Played,77009.166543562
1.026589550,113.969599577,1.95,3,Vancouver Titans,Solo Kills,117
7.939645650,178.471440982,23.616666667,3,Shanghai Dragons,Final Blows,1417
554.300889792,130.719142843,1207.628953178,3,London Spitfire,Time Alive,72457.737190658
12817.796072459,179.872739221,38426.20150549,3,Chengdu Hunters,All Damage Done,2305572.0903294
4.488113031,178.471440982,13.35,3,Shanghai Dragons,Deaths,801
6.097041204,130.719142843,13.283333333,3,London Spitfire,Final Blows,797
1.093225207,141.782314436,2.583333333,3,San Francisco Shock,Solo Kills,155
558.377835760,185.145191124,1723.016185353,3,Guangzhou Charge,Time Alive,103380.971121166
548.330355516,166.405705671,1520.754995841,3,New York Excelsior,Time Alive,91245.299750449
1.617763056,143.407898422,3.866666667,3,Dallas Fuel,Critical Hit Kills,232
13439.291555289,143.407898422,32121.675970409,3,Dallas Fuel,All Damage Done,1927300.55822455
6.933025275,171.498004537,19.816666667,3,Houston Outlaws,Final Blows,1189
540.908916422,171.498004537,1546.079996712,3,Houston Outlaws,Time Alive,92764.799802707
13609.042237305,185.145191124,41994.145434007,3,Guangzhou Charge,All Damage Done,2519648.72604042
18.429947228,143.407898422,44.05,3,Dallas Fuel,Eliminations,2643
7.515825569,175.363303457,21.966666667,3,Philadelphia Fusion,Final Blows,1318
16.603185756,185.145191124,51.233333333,3,Guangzhou Charge,Eliminations,3074
0.786937730,175.363303457,2.3,3,Philadelphia Fusion,Solo Kills,138
0.773397276,157.745577566,2.033333333,3,Boston Uprising,Solo Kills,122
7.357421207,160.110447233,19.633333333,3,Toronto Defiant,Final Blows,1178
548.639957341,179.872739221,1644.756199551,3,Chengdu Hunters,Time Alive,98685.371973035
5.578603303,157.745577566,14.666666667,3,Boston Uprising,Deaths,880
15021.722670039,166.405705671,41661.672688364,3,New York Excelsior,All Damage Done,2499700.36130183
1.760829341,128.348610906,3.766666667,3,Atlanta Reign,Critical Hit Kills,226
14699.456627078,128.348610906,31444.247319307,3,Atlanta Reign,All Damage Done,1886654.8391584
18.482457925,152.84763593,47.083333333,3,Florida Mayhem,Eliminations,2825
0.759229562,168.591959989,2.133333333,3,Paris Eternal,Solo Kills,128
12880.966444480,113.969599577,24467.309797369,3,Vancouver Titans,All Damage Done,1468038.58784212
600.000000000,162.193992066,1621.93992066,3,Hangzhou Spark,Time Played,97316.395239616
600.000000001,179.872739221,1798.727392212,3,Chengdu Hunters,Time Played,107923.643532716
559.098654165,175.363303457,1634.089782545,3,Philadelphia Fusion,Time Alive,98045.38695272
6.846467690,157.745577566,18,3,Boston Uprising,Final Blows,1080
6.924295426,185.145191124,21.366666667,3,Guangzhou Charge,Final Blows,1282
13350.882337085,130.719142843,29086.931588359,3,London Spitfire,All Damage Done,1745215.89530152
13708.213396074,159.446995678,36428.890701948,3,Los Angeles Valiant,All Damage Done,2185733.44211687
16.419915411,160.110447233,43.816666667,3,Toronto Defiant,Eliminations,2629
13356.803521099,162.193992066,36106.554738804,3,Hangzhou Spark,All Damage Done,2166393.28432821
538.152877887,159.446995678,1430.114326575,3,Los Angeles Valiant,Time Alive,85806.859594524
0.709027496,162.193992066,1.916666667,3,Hangzhou Spark,Solo Kills,115
1.280076455,185.145191124,3.95,3,Guangzhou Charge,Critical Hit Kills,237
1.430205955,113.969599577,2.716666667,3,Vancouver Titans,Critical Hit Kills,163
5.403820524,179.872739221,16.2,3,Chengdu Hunters,Deaths,972
1.028554971,159.446995678,2.733333333,3,Los Angeles Valiant,Solo Kills,164
600.000000000,113.969599577,1139.69599577,3,Vancouver Titans,Time Played,68381.759746182
600.000000002,166.405705671,1664.057056714,3,New York Excelsior,Time Played,99843.423402852
14252.004080078,152.84763593,36306.41884841,3,Florida Mayhem,All Damage Done,2178385.13090458
599.999999999,160.110447233,1601.104472327,3,Toronto Defiant,Time Played,96066.268339606
15.882868856,166.405705671,44.05,3,New York Excelsior,Eliminations,2643
0.987911910,152.84763593,2.516666667,3,Florida Mayhem,Solo Kills,151
6.282377078,113.969599577,11.933333333,3,Vancouver Titans,Deaths,716
0.841458269,128.348610906,1.8,3,Atlanta Reign,Solo Kills,108
1.853295379,175.363303457,5.416666667,3,Philadelphia Fusion,Critical Hit Kills,325
1.439875051,156.263558982,3.75,3,Washington Justice,Critical Hit Kills,225
6.067822371,143.049672011,14.466666667,3,Los Angeles Gladiators,Deaths,868
1.831329582,159.446995678,4.866666667,3,Los Angeles Valiant,Critical Hit Kills,292
15743.663288829,160.110447233,42012.082837669,3,Toronto Defiant,All Damage Done,2520724.97026011
14.929904420,156.263558982,38.883333333,3,Washington Justice,Eliminations,2333
6.087534387,171.498004537,17.4,3,Houston Outlaws,Deaths,1044
4.077249835,175.363303457,11.916666667,3,Philadelphia Fusion,Deaths,715
19.095492148,178.471440982,56.8,3,Shanghai Dragons,Eliminations,3408
600.000000001,152.84763593,1528.476359302,3,Florida Mayhem,Time Played,91708.581558149
15373.767320814,141.782314436,36328.80520576,3,San Francisco Shock,All Damage Done,2179728.3123456
2.087707491,141.782314436,4.933333333,3,San Francisco Shock,Critical Hit Kills,296
600.000000001,143.407898422,1434.078984223,3,Dallas Fuel,Time Played,86044.73905336
13.526229770,179.872739221,40.55,3,Chengdu Hunters,Eliminations,2433
13677.269420981,143.049672011,32608.815077956,3,Los Angeles Gladiators,All Damage Done,1956528.90467735
14.865709937,157.745577566,39.083333333,3,Boston Uprising,Eliminations,2345
5.642452680,141.782314436,13.333333333,3,San Francisco Shock,Deaths,800
1.310051234,166.405705671,3.633333333,3,New York Excelsior,Critical Hit Kills,218
600.000000002,130.719142843,1307.191428435,3,London Spitfire,Time Played,78431.485706078
0.910348687,130.719142843,1.983333333,3,London Spitfire,Solo Kills,119
599.999999999,185.145191124,1851.451911236,3,Guangzhou Charge,Time Played,111087.11467417
537.226708400,168.591959989,1509.535062126,3,Paris Eternal,Time Alive,90572.103727544
599.999999999,171.498004537,1714.980045367,3,Houston Outlaws,Time Played,102898.802722015
8.880694139,159.446995678,23.6,3,Los Angeles Valiant,Final Blows,1416
555.118985339,152.84763593,1414.143742815,3,Florida Mayhem,Time Alive,84848.624568877
0.892558927,143.407898422,2.133333333,3,Dallas Fuel,Solo Kills,128
599.999999999,156.263558982,1562.635589818,3,Washington Justice,Time Played,93758.135389083
538.133713536,113.969599577,1022.181397509,3,Vancouver Titans,Time Alive,61330.88385057
544.736250275,141.782314436,1287.232772019,3,San Francisco Shock,Time Alive,77233.966321137
8.193412029,143.407898422,19.583333333,3,Dallas Fuel,Final Blows,1175
16.221763090,171.498004537,46.366666667,3,Houston Outlaws,Eliminations,2782
18.944468463,143.049672011,45.166666667,3,Los Angeles Gladiators,Eliminations,2710
6.826381797,113.969599577,12.966666667,3,Vancouver Titans,Final Blows,778
15530.511537883,178.471440982,46195.879555892,3,Shanghai Dragons,All Damage Done,2771752.77335352
600.000000000,134.384033343,1343.840333429,3,Seoul Dynasty,Time Played,80630.420005766
1.469404852,171.498004537,4.2,3,Houston Outlaws,Critical Hit Kills,252
19.642788391,141.782314436,46.416666667,3,San Francisco Shock,Eliminations,2785
541.124736793,160.110447233,1443.995393614,3,Toronto Defiant,Time Alive,86639.723616812
4.559393422,130.719142843,9.933333333,3,London Spitfire,Deaths,596
14.942581235,113.969599577,28.383333333,3,Vancouver Titans,Eliminations,1703
545.862818645,157.745577566,1435.124093315,3,Boston Uprising,Time Alive,86107.445598914
17.706098932,175.363303457,51.75,3,Philadelphia Fusion,Eliminations,3105
544.546470834,128.348610906,1164.863051755,3,Atlanta Reign,Time Alive,69891.783105327
7.082188261,168.591959989,19.9,3,Paris Eternal,Final Blows,1194
12843.602627432,171.498004537,36710.870361181,3,Houston Outlaws,All Damage Done,2202652.22167083
4.288526184,185.145191124,13.233333333,3,Guangzhou Charge,Deaths,794
600.000000002,168.591959989,1685.919599894,3,Paris Eternal,Time Played,101155.175993663
599.999999999,157.745577566,1577.455775658,3,Boston Uprising,Time Played,94647.346539507
0.699057877,143.049672011,1.666666667,3,Los Angeles Gladiators,Solo Kills,100
14605.764577646,168.591959989,41040.241288053,3,Paris Eternal,All Damage Done,2462414.47728317
8.339760471,143.049672011,19.883333333,3,Los Angeles Gladiators,Final Blows,1193
6.140794658,162.193992066,16.6,3,Hangzhou Spark,Final Blows,996
