adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
8851.500956453,489.279314227,72180.938630884,1,Los Angeles Gladiators,Healing Done,4330856.31785303
5.971955728,426.326000374,42.433333333,1,Florida Mayhem,Deaths,2546
5.067383294,531.240650993,44.866666667,1,Philadelphia Fusion,Deaths,2692
4.946050098,489.279314227,40.333333333,1,Los Angeles Gladiators,Deaths,2420
4365.179724102,486.001244515,35358.046307416,1,Boston Uprising,All Damage Done,2121482.77844499
303.578701053,531.240650993,2687.889112912,1,Philadelphia Fusion,Time Alive,161273.346774743
5.916865716,489.279314227,48.25,1,Los Angeles Gladiators,Offensive Assists,2895
4443.356682165,438.031014214,32438.800566723,1,San Francisco Shock,All Damage Done,1946328.03400336
600.000000000,527.459312696,5274.593126963,1,New York Excelsior,Time Played,316475.587617772
8490.206312284,468.521494014,66297.402431972,1,Dallas Fuel,Healing Done,3977844.14591835
270.324083567,438.031014214,1973.505541524,1,San Francisco Shock,Time Alive,118410.332491453
6.008262238,468.521494014,46.916666667,1,Dallas Fuel,Offensive Assists,2815
9205.683840661,531.240650993,81507.224605805,1,Philadelphia Fusion,Healing Done,4890433.47634831
5.064901237,450.156852706,38,1,Seoul Dynasty,Deaths,2280
4.676250130,521.357911161,40.633333333,1,London Spitfire,Deaths,2438
600.000000000,430.53222852,4305.322285203,1,Houston Outlaws,Time Played,258319.3371122
14.633266750,468.521494014,114.266666667,1,Dallas Fuel,Defensive Assists,6856
600.000000000,438.031014214,4380.310142143,1,San Francisco Shock,Time Played,262818.608528607
3.881918970,392.84694296,25.416666667,1,Shanghai Dragons,Offensive Assists,1525
5.811307735,450.156852706,43.6,1,Seoul Dynasty,Offensive Assists,2616
8564.593748429,450.156852706,64256.842774969,1,Seoul Dynasty,Healing Done,3855410.56649816
599.999999999,486.001244515,4860.012445145,1,Boston Uprising,Time Played,291600.746708715
599.999999999,504.965758891,5049.657588905,1,Los Angeles Valiant,Time Played,302979.455334315
279.864519279,489.279314227,2282.198667825,1,Los Angeles Gladiators,Time Alive,136931.920069472
15.563464063,450.156852706,116.766666667,1,Seoul Dynasty,Defensive Assists,7006
