adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
82.740084474,162.20580972,223.682039974,3,Hangzhou Spark,Objective Time,13420.922398421
543.733338402,143.407898423,1299.594256046,3,Dallas Fuel,Time Alive,77975.655362756
82.747016009,113.969599578,157.17740468,3,Vancouver Titans,Objective Time,9430.644280792
600.000000001,175.363303456,1753.633034563,3,Philadelphia Fusion,Time Played,105217.982073764
9802.977464645,175.363303456,28651.375198414,3,Philadelphia Fusion,Damage Taken,1719082.51190483
545.087180251,143.049672014,1299.5757059,3,Los Angeles Gladiators,Time Alive,77974.542353972
10804.120598657,168.59195999,30358.131128266,3,Paris Eternal,Damage Taken,1821487.86769598
14490.328735230,160.110447231,38667.550238698,3,Toronto Defiant,Damage Blocked,2320053.0143219
93.265013963,166.40570567,258.663841048,3,New York Excelsior,Objective Time,15519.83046291
549.628628245,162.20580972,1485.882611495,3,Hangzhou Spark,Time Alive,89152.956689699
557.486399275,178.47144098,1658.256683423,3,Shanghai Dragons,Time Alive,99495.401005382
12698.061306428,156.263558982,33070.7375319,3,Washington Justice,Damage Blocked,1984244.251914
599.999999998,128.348610905,1283.486109047,3,Atlanta Reign,Time Played,77009.1665428
13293.195126675,171.498004536,37995.94063554,3,Houston Outlaws,Damage Blocked,2279756.4381324
552.396241412,130.719142846,1203.479386478,3,London Spitfire,Time Alive,72208.763188697
9790.488328167,179.872739221,29350.699231645,3,Chengdu Hunters,Damage Taken,1761041.95389868
8977.591442297,185.145191122,27702.631389989,3,Guangzhou Charge,Damage Taken,1662157.88339935
558.598954131,185.145191122,1723.698502054,3,Guangzhou Charge,Time Alive,103421.91012321
549.877189638,166.40570567,1525.045029559,3,New York Excelsior,Time Alive,91502.701773522
544.205759541,171.498004536,1555.503363638,3,Houston Outlaws,Time Alive,93330.201818284
85.668797639,159.446995677,227.660540114,3,Los Angeles Valiant,Objective Time,13659.632406855
12574.786762217,159.446995677,33416.866175241,3,Los Angeles Valiant,Damage Blocked,2005011.97051445
10659.376733514,143.049672014,25413.672426715,3,Los Angeles Gladiators,Damage Taken,1524820.34560287
99.571675365,160.110447231,265.707757903,3,Toronto Defiant,Objective Time,15942.465474184
9871.550785324,128.348610905,21116.663846241,3,Atlanta Reign,Damage Taken,1266999.83077446
9719.479868970,162.20580972,26275.935036726,3,Hangzhou Spark,Damage Taken,1576556.10220356
547.667736661,179.872739221,1641.841599603,3,Chengdu Hunters,Time Alive,98510.495976152
9323.204986996,134.384033342,20881.49816378,3,Seoul Dynasty,Damage Taken,1252889.8898268
10482.787971790,160.110447231,27973.39783985,3,Toronto Defiant,Damage Taken,1678403.870391
12169.478798664,113.969599578,23115.843762612,3,Vancouver Titans,Damage Blocked,1386950.62575671
600.000000000,162.20580972,1622.058097201,3,Hangzhou Spark,Time Played,97323.485832037
600.000000002,179.872739221,1798.727392215,3,Chengdu Hunters,Time Played,107923.643532898
557.068702671,175.363303456,1628.156799204,3,Philadelphia Fusion,Time Alive,97689.407952258
13898.242219703,157.745577566,36539.77076832,3,Boston Uprising,Damage Blocked,2192386.24609919
10309.441245697,113.969599578,19582.714844083,3,Vancouver Titans,Damage Taken,1174962.89064497
11735.202555343,179.872739221,35180.717149048,3,Chengdu Hunters,Damage Blocked,2110843.0289429
14283.646157217,128.348610905,30554.769048955,3,Atlanta Reign,Damage Blocked,1833286.14293732
540.507698164,159.446995677,1436.372143544,3,Los Angeles Valiant,Time Alive,86182.328612616
10164.931311778,143.407898423,24295.523950605,3,Dallas Fuel,Damage Taken,1457731.4370363
73.286372256,134.384033342,164.141971545,3,Seoul Dynasty,Objective Time,9848.518292713
9517.170081993,157.745577566,25021.524856298,3,Boston Uprising,Damage Taken,1501291.49137786
10242.806465070,159.446995677,27219.745302605,3,Los Angeles Valiant,Damage Taken,1633184.71815633
599.999999999,113.969599578,1139.695995779,3,Vancouver Titans,Time Played,68381.75974674
600.000000001,166.40570567,1664.057056703,3,New York Excelsior,Time Played,99843.42340216
599.999999999,160.110447231,1601.104472307,3,Toronto Defiant,Time Played,96066.268338439
12555.269062280,166.40570567,34821.140136423,3,New York Excelsior,Damage Blocked,2089268.4081854
9279.355945099,152.847635931,23638.793652844,3,Florida Mayhem,Damage Taken,1418327.61917062
94.423189799,185.145191122,291.366658694,3,Guangzhou Charge,Objective Time,17481.999521633
100.981632123,130.719142846,220.00387324,3,London Spitfire,Objective Time,13200.232394372
600.000000001,152.847635931,1528.476359313,3,Florida Mayhem,Time Played,91708.581558798
599.999999998,143.407898423,1434.078984226,3,Dallas Fuel,Time Played,86044.739053552
10793.067462300,171.498004536,30849.825543448,3,Houston Outlaws,Damage Taken,1850989.53260687
599.999999998,130.719142846,1307.191428456,3,London Spitfire,Time Played,78431.485707336
99.567802070,141.782314438,235.282557016,3,San Francisco Shock,Objective Time,14116.953420961
543.954295189,168.59195999,1528.438679514,3,Paris Eternal,Time Alive,91706.320770815
599.999999999,185.145191122,1851.451911216,3,Guangzhou Charge,Time Played,111087.114672944
